token,neighbor,cosine
propose,suggests,0.7680227
propose,try,0.7544314
propose,initiate,0.7524574
defined,defines,0.9563615
defined,define,0.951866
defined,definition,0.9305844
defined,defining,0.907866
defined,definitions,0.88720804
defined,meaning,0.7825374
defined,user-defined,0.75238216
defined,meanings,0.7474278
defined,well-defined,0.74309576
defined,pre-defined,0.74002457
application,applying,0.88390833
application,applications,0.87890995
application,apply,0.8558589
application,applied,0.85389847
application,applies,0.8123169
application,applica-,0.78362364
application,applicability,0.7549522
application,submitted,0.7416848
application,submission,0.73655474
application,appli-,0.72957826
detection,detecting,0.9676224
detection,detects,0.9329296
detection,detect,0.9280353
detection,detect-,0.91694385
detection,detector,0.8878884
detection,detected,0.86857486
detection,detectors,0.8594057
detection,recognizing,0.7459044
detection,investigating,0.7278172
detection,distinguish,0.72457063
applied,applying,0.8971597
applied,apply,0.8690293
applied,application,0.85389847
applied,applies,0.8422879
applied,submitted,0.8048275
applied,accepted,0.7904299
applied,qualified,0.77926296
applied,referred,0.7731169
applied,adapted,0.7653542
applied,assigned,0.76524293
fixed,fix,0.87504745
fixed,fixed-by,0.8575928
fixed,resolved,0.8262178
fixed,fixes,0.8229132
fixed,fixing,0.8150176
fixed,edited,0.7941951
fixed,worked,0.7711664
fixed,fix-in-,0.7662486
fixed,updated,0.7623995
fixed,done,0.76100093
copy,copying,0.93254685
copy,copied,0.8957757
copy,copies,0.89206284
copy,duplicate,0.81546026
copy,clone,0.8137385
copy,duplication,0.7826194
copy,replication,0.7619333
copy,duplicated,0.7597608
copy,cloned,0.75548536
copy,overwritten,0.73639524
consider,considers,0.9322564
consider,considering,0.88293195
consider,considered,0.8674874
consider,considerations,0.8166518
consider,think,0.81598926
consider,decide,0.8093294
consider,choose,0.7760558
consider,deciding,0.7741732
consider,suggest,0.7548437
consider,discuss,0.7503145
during,occurred,0.7475341
during,after,0.7467132
during,between,0.73847616
during,occurring,0.7362136
during,while,0.7361065
during,when,0.73110396
during,present,0.7268406
during,occurs,0.72522265
during,whenever,0.7207159
during,before,0.71954614
references,reference,0.8911851
references,referenced,0.85412574
references,sources,0.7959348
references,mentions,0.7839295
references,referencing,0.7807598
references,citation,0.7493488
references,note,0.731509
references,refers,0.72180295
references,examples,0.72085285
references,papers,0.7152223
requires,required,0.9175245
requires,requiring,0.9167707
requires,require,0.916033
requires,requirement,0.91412574
requires,requirements,0.8939592
requires,must,0.8346359
requires,mandatory,0.8251793
requires,needs,0.8182428
requires,necessary,0.8142365
requires,need,0.8024755
later,earlier,0.8578504
later,after,0.80006564
later,soon,0.7993327
later,subsequent,0.78136426
later,then,0.7716221
later,latter,0.75888884
later,previously,0.7584738
later,further,0.7440668
later,now,0.7405881
later,future,0.7370451
categories,category,0.90858597
categories,categorized,0.8679849
categories,items,0.79749966
categories,classifications,0.78716993
categories,categorization,0.77398586
categories,types,0.77196646
categories,kinds,0.77083737
categories,objects,0.7635048
categories,taxonomy,0.7584348
categories,classification,0.75732166
bugs,bug,0.9111443
bugs,bug-,0.8961554
bugs,bug-prone,0.8224465
bugs,bug-introducing,0.81488323
bugs,bugzilla,0.7961928
bugs,bug-fix,0.7869932
bugs,findbugs,0.7862405
bugs,buggy,0.7721645
bugs,bugcrawler,0.7657273
bugs,bug-tracking,0.7512772
contain,contains,0.8834722
contain,containing,0.88144326
contain,contained,0.8436558
contain,include,0.7893706
contain,hold,0.77336484
contain,possess,0.7676086
contain,keep,0.7650605
contain,comprise,0.76374704
contain,holds,0.75869423
contain,share,0.75612843
parts,part,0.837701
parts,components,0.8136006
parts,pieces,0.7888883
parts,things,0.7649544
parts,items,0.7352963
parts,bits,0.7345532
parts,objects,0.7300287
parts,engines,0.7245087
parts,fixes,0.7176356
parts,ments,0.71641695
revisions,revision,0.9323318
revisions,edits,0.8429108
revisions,editing,0.7965178
revisions,edited,0.78069437
revisions,modifications,0.7805834
revisions,edit,0.77355254
revisions,modified,0.76991993
revisions,modifying,0.769508
revisions,modify,0.76300925
revisions,modification,0.7571241
means,mean,0.8244748
means,meant,0.7982348
means,meaning,0.7900391
means,meanings,0.7827156
means,denoted,0.77487534
means,represents,0.7564337
means,sense,0.7468954
means,indicates,0.74541885
means,denotes,0.7431869
means,measures,0.7357069
cannot,cant,0.9130241
cannot,impossible,0.83533496
cannot,insufficient,0.76297045
cannot,fail,0.7498265
cannot,could,0.7466814
cannot,doesn,0.7382849
cannot,failed,0.73004436
cannot,not,0.72447836
cannot,invalid,0.72174674
cannot,unsupportedin2,0.7166975
instances,instance,0.91614217
instances,occurrence,0.7444169
instances,examples,0.7409935
instances,entities,0.72772026
instances,example,0.723727
instances,occurrences,0.72064066
instances,kinds,0.71665215
instances,incidence,0.70470846
instances,situations,0.70025164
instances,objects,0.69860846
sourceforge,dforge,0.7477637
sourceforge,source-code,0.74419814
sourceforge,open-source,0.72565436
sourceforge,source-control,0.71340764
sourceforge,codebase,0.707533
sourceforge,developer-project,0.6930739
sourceforge,dev,0.6929259
sourceforge,repositories,0.6887344
sourceforge,repository,0.6884352
sourceforge,kdewebdev,0.6815872
must,necessary,0.87539047
must,required,0.8697873
must,require,0.8492559
must,need,0.8452157
must,requires,0.8346359
must,requiring,0.82029426
must,mandatory,0.80865836
must,requirement,0.8068971
must,should,0.8016101
must,important,0.7997872
com-,com,0.92434305
com-,commun,0.77293056
com-,compat,0.73928165
com-,co-,0.7315955
com-,net-,0.72891814
com-,compo-,0.7225159
com-,org,0.716855
com-,exc,0.71487063
com-,net,0.71404535
com-,comma,0.7071454
collection,collections,0.9276264
collection,collecting,0.8080705
collection,collected,0.7798698
collection,items,0.7636948
collection,collect,0.7567506
collection,collects,0.75428295
collection,pieces,0.75223804
collection,sets,0.7519995
collection,objects,0.74891853
collection,set,0.73369205
ast,asts,0.8905146
ast,ast2,0.85589045
ast,ast1,0.8461203
ast,as,0.7684832
ast,astparser,0.7664623
ast,astnode,0.75667435
ast,awt,0.75488037
ast,ast2famix,0.74901855
ast,amt,0.7381813
ast,as-,0.73442894
provides,providing,0.87639725
provides,provide,0.8607567
provides,provided,0.8561348
provides,helps,0.8382866
provides,facilitates,0.7953801
provides,gives,0.78074247
provides,utilizes,0.77886426
provides,ensures,0.77632123
provides,needed,0.7741131
provides,needs,0.77204454
modifications,modification,0.9624119
modifications,modifying,0.92079735
modifications,modified,0.8888921
modifications,modify,0.87398684
modifications,modifies,0.8640976
modifications,revisions,0.7805834
modifications,improvements,0.76909107
modifications,customize,0.75576556
modifications,customizable,0.7507266
modifications,changes,0.7466552
refactoring,refactorings,0.9789225
refactoring,refactor,0.89679927
refactoring,refactored,0.8577649
refactoring,programming,0.68769383
refactoring,coding,0.6839668
refactoring,refine,0.668363
refactoring,modifying,0.6653969
refactoring,restructure,0.65683454
refactoring,java,0.65411264
refactoring,simplify,0.65313584
who,whom,0.90149343
who,whose,0.83173275
who,which,0.77867895
who,what,0.772827
who,somebody,0.7613597
who,where,0.7538553
who,person,0.7323416
who,persons,0.7166638
who,were,0.71401715
who,anyone,0.7125409
addition,add,0.8650992
addition,additions,0.8417892
addition,plus,0.80405074
addition,sum,0.8034376
addition,sums,0.8029467
addition,sum-,0.7824128
addition,multiplying,0.76244825
addition,quantity,0.75472546
addition,increments,0.7531407
addition,amounts,0.7459804
last,end,0.80780023
last,least,0.755241
last,remaining,0.7494649
last,previous,0.74307436
last,past,0.74037105
last,final,0.7375121
last,former,0.7364768
last,best,0.73317564
last,lasted,0.7267527
last,concludes,0.72047234
problems,problem,0.8830702
problems,difficulties,0.87716097
problems,problematic,0.84653854
problems,issues,0.8152744
problems,errors,0.8105504
problems,faults,0.7971879
problems,fixes,0.7733433
problems,issue,0.77164173
problems,challenges,0.7659202
problems,defects,0.7554949
words,word,0.89644843
words,vocabulary,0.800012
words,keywords,0.7897416
words,writing,0.756647
words,lexical,0.7558443
words,language,0.7558144
words,ideas,0.751768
words,things,0.74003035
words,spelling,0.7332804
words,keyword,0.73268163
together,collaboration,0.8306212
together,gathered,0.7953172
together,combined,0.7940016
together,combining,0.7926998
together,collaborative,0.7798695
together,combine,0.77845335
together,simultaneously,0.7782104
together,coupled,0.7701115
together,gather,0.76007086
together,individually,0.75764644
years,yr,0.8503299
years,year,0.84666276
years,ages,0.7874632
years,lifetime,0.75628984
years,age,0.7486077
years,months,0.728324
years,days,0.72776634
years,numbers,0.71525294
years,tions,0.7070127
years,lengths,0.6943266
current,currently,0.8755771
current,present,0.8061645
current,now,0.7971549
current,ongoing,0.75915694
current,recent,0.7467003
current,dynamic,0.7207882
current,alive,0.7200233
current,existing,0.7162973
current,modern,0.7159128
current,today,0.7139355
de-,de,0.86184216
de-,dis-,0.8412378
de-,di-,0.8150182
de-,des,0.7683723
de-,del,0.7515396
de-,der,0.74574363
de-,di,0.7430037
de-,depen-,0.7291832
de-,deb,0.7189114
de-,dd,0.713428
platform,platforms,0.94437253
platform,sector,0.7084052
platform,framework,0.69401926
platform,panel,0.6862349
platform,position,0.6848512
platform,setup,0.6803263
platform,model,0.6780201
platform,form,0.67635626
platform,topic,0.6758135
platform,stage,0.67490965
up,higher,0.818343
up,down,0.75781715
up,high,0.755654
up,above,0.7478521
up,raise,0.7459096
up,upper,0.7403226
up,increase,0.7308173
up,arose,0.7267848
up,came,0.71367705
up,increasing,0.7134728
directory,directories,0.88751394
directory,listings,0.7953941
directory,subdirectory,0.7461637
directory,mkdir,0.7390474
directory,listed,0.7382166
directory,locations,0.7350091
directory,subdirectories,0.7328876
directory,folder,0.7248432
directory,located,0.7183955
directory,address,0.71789557
once,one,0.8013924
once,twice,0.7891827
once,ones,0.7446842
once,first,0.7406151
once,single,0.72978073
once,again,0.71449715
once,firstly,0.712932
once,moment,0.70614916
once,there,0.70431465
once,three,0.6957825
dependencies,dependency,0.79903847
dependencies,packages,0.719953
dependencies,install,0.71478575
dependencies,repos-,0.7087135
dependencies,repositories,0.7001325
dependencies,pkgs,0.6992636
dependencies,package,0.6954345
dependencies,requires,0.69059837
dependencies,relies,0.6899689
dependencies,depend,0.68195575
cohesion,belonging,0.73402125
cohesion,correlating,0.72866696
cohesion,correlate,0.71925706
cohesion,rigidity,0.7112891
cohesion,consisting,0.70190823
cohesion,together,0.6991991
cohesion,compo-,0.6982124
cohesion,co-,0.696722
cohesion,coupling,0.6944356
cohesion,belong,0.6933528
above,below,0.7864455
above,higher,0.78587484
above,upper,0.7770875
above,overhead,0.76178455
above,up,0.7478521
above,under,0.7320658
above,high,0.7302469
above,highest,0.7278715
above,over,0.71717525
above,top-level,0.7089018
logic,logics,0.9112667
logic,logical,0.90674084
logic,logically,0.8477138
logic,prolog,0.80149925
logic,propositional,0.7876589
logic,theorem,0.75483084
logic,axioms,0.74755657
logic,entailment,0.72972924
logic,rational,0.72622114
logic,reason,0.7238355
simple,simply,0.92511123
simple,simplicity,0.9174411
simple,simplest,0.90978616
simple,simplified,0.89874214
simple,simpler,0.8694917
simple,easy,0.8465439
simple,trivial,0.80800956
simple,straightforward,0.8039743
simple,simplify,0.80268645
simple,basic,0.77760243
advantage,advantages,0.8537605
advantage,benefit,0.8076716
advantage,beneficial,0.7948638
advantage,benefits,0.7509491
advantage,win-,0.73520607
advantage,effectiveness,0.72314644
advantage,ability,0.7188861
advantage,opportunity,0.7157712
advantage,trade-off,0.71369666
advantage,efficiency,0.71191967
notice,reminder,0.803965
notice,postings,0.75006264
notice,warning,0.7350376
notice,addressed,0.7301296
notice,message,0.7296653
notice,indication,0.7271098
notice,note,0.72365093
notice,indicating,0.71946454
notice,information,0.71864617
notice,warnings,0.7146021
frequently,often,0.9183101
frequently,routinely,0.88102835
frequently,frequent,0.86125726
frequently,occasionally,0.83570355
frequently,infrequently,0.8345948
frequently,commonly,0.8088005
frequently,consistently,0.80048895
frequently,continually,0.7839215
frequently,usually,0.7790999
frequently,recently,0.7647687
bug-prone,bugs,0.8224465
bug-prone,bug-tracking,0.79909056
bug-prone,bug-,0.793777
bug-prone,bug,0.79229313
bug-prone,bugcrawler,0.7779953
bug-prone,error-prone,0.7772639
bug-prone,bugzilla,0.7739644
bug-prone,buggy,0.76250106
bug-prone,bug-introducing,0.7568728
bug-prone,bug-fix,0.7500517
quality,reliability,0.76824546
quality,reliable,0.74974006
quality,precision,0.72588784
quality,good,0.71992856
quality,finer,0.71307474
quality,best,0.71277505
quality,valuable,0.71054417
quality,style,0.70845914
quality,accuracy,0.7079861
quality,validity,0.70785755
queries,query,0.83765656
queries,questions,0.82909536
queries,querying,0.8177392
queries,searches,0.7749722
queries,question,0.75703305
queries,entries,0.73172945
queries,items,0.72137547
queries,calls,0.7206099
queries,postings,0.71938956
queries,searching,0.7143194
global,international,0.8458856
global,world,0.7660645
global,intl,0.7491234
global,countries,0.70983416
global,general,0.70018494
global,globalunlock,0.694917
global,asia-pacific,0.6932138
global,online,0.68043345
global,universal,0.6758515
global,social,0.67487437
awt,ast,0.75488037
awt,amt,0.7331353
awt,awb,0.71567124
awt,jdt,0.7045445
awt,idt,0.6935828
awt,wrt,0.6843798
awt,ext,0.67465085
awt,asts,0.66512126
awt,ment,0.66321486
awt,ast2,0.6585112
com,com-,0.92434305
com,net,0.7341649
com,net-,0.72650856
com,co-,0.71732485
com,commun,0.7140969
com,org,0.710866
com,www,0.7094403
com,domain,0.7080676
com,co,0.7061915
com,web,0.7057916
unique,different,0.8411153
unique,distinct,0.8363699
unique,rare,0.803608
unique,peculiar,0.7679628
unique,special,0.76372916
unique,interesting,0.7530958
unique,vary,0.74691707
unique,random,0.7412731
unique,kind,0.73473686
unique,differ,0.73388654
describe,describing,0.92422724
describe,describes,0.90934014
describe,descriptions,0.8747518
describe,described,0.8708259
describe,descriptive,0.86045194
describe,characterize,0.8011284
describe,explain,0.78237706
describe,description,0.7775438
describe,specify,0.7592062
describe,characterized,0.74407303
artifacts,artifact,0.90825135
artifacts,objects,0.77275866
artifacts,remains,0.72776103
artifacts,collections,0.71922547
artifacts,items,0.7140074
artifacts,exhibits,0.7058248
artifacts,collecting,0.7040693
artifacts,collection,0.7004616
artifacts,assets,0.69812405
artifacts,pieces,0.6915341
studies,study,0.89090884
studies,researches,0.85178924
studies,studied,0.8293672
studies,studying,0.7952271
studies,analyses,0.7706927
studies,research,0.7621562
studies,findings,0.7586754
studies,subjects,0.74122566
studies,tests,0.737469
studies,researchers,0.7366805
still,remained,0.8004452
still,remain,0.7886155
still,yet,0.7698169
still,unchanged,0.75707215
still,remaining,0.73546535
still,currently,0.7331541
still,ongoing,0.72998554
still,continue,0.7241249
still,constant,0.7185176
still,while,0.7177895
models,modeling,0.89728206
models,model,0.8954905
models,modelling,0.86993515
models,figures,0.7857574
models,figure,0.72902614
models,types,0.71257466
models,meta-model,0.70924556
models,objects,0.7080194
models,representations,0.7034729
models,females,0.70260614
prefix,prefixes,0.9475013
prefix,compound,0.70932055
prefix,denote,0.69732404
prefix,postfixes,0.6951811
prefix,terminology,0.69361186
prefix,renaming,0.67951334
prefix,naming,0.6791822
prefix,impose,0.6778691
prefix,denotes,0.67291003
prefix,specify,0.6673763
grade,grades,0.914361
grade,grading,0.9096207
grade,level,0.7833365
grade,rated,0.7668403
grade,levels,0.744516
grade,score,0.7403932
grade,rank,0.7386156
grade,ranking,0.73270166
grade,class,0.72778136
grade,rankings,0.7272039
column,columns,0.9159189
column,col-,0.74927914
column,matrix,0.6845115
column,row,0.6820421
column,table,0.680427
column,diagonal,0.6748825
column,piece,0.6718336
column,position,0.67180884
column,pa,0.6657796
column,format,0.6653348
next,subsequent,0.83240145
next,follows,0.78520775
next,successive,0.7849633
next,another,0.78282815
next,previous,0.78028554
next,further,0.77626973
next,follow,0.77103055
next,continue,0.76504964
next,soon,0.76285845
next,proceed,0.7607928
considered,considers,0.91270894
considered,considering,0.89644164
considered,consider,0.8674874
considered,suggested,0.8138674
considered,proposed,0.80685014
considered,discussed,0.7781063
considered,possibility,0.7748261
considered,offered,0.7742651
considered,considerations,0.77361256
considered,deciding,0.7638992
effort,efforts,0.86042976
effort,attempt,0.8002142
effort,accomplish,0.7829481
effort,attempts,0.75825727
effort,attempted,0.7375501
effort,goal,0.73596597
effort,doing,0.734187
effort,tries,0.7293024
effort,task,0.72758794
effort,achieve,0.72264916
zimmermann,gruhn,0.6684752
zimmermann,michlmayr,0.6568397
zimmermann,von,0.65570873
zimmermann,monden,0.6527575
zimmermann,german,0.64334565
zimmermann,germany,0.6425477
zimmermann,martin,0.6419144
zimmermann,weissgerber,0.6265585
zimmermann,beyer,0.62155974
zimmermann,lehman,0.620981
finding,find,0.9178972
finding,discovering,0.8489353
finding,searching,0.84204876
finding,finds,0.8241909
finding,looking,0.8147526
finding,seeking,0.8121159
finding,locating,0.8033519
finding,found,0.7946736
finding,finders,0.78680587
finding,investigating,0.7839353
linux,debian,0.78511167
linux,gnu,0.78028274
linux,unix,0.77610403
linux,os,0.76434064
linux,bsd,0.751742
linux,kde,0.74462605
linux,linus,0.72572577
linux,oss,0.71494436
linux,computer,0.71419835
linux,desktop,0.7123465
automatically,automated,0.87315756
automatically,automatic,0.8709092
automatically,manually,0.8690215
automatically,automating,0.8374176
automatically,automation,0.81691885
automatically,auto-,0.80073076
automatically,easier,0.73016506
automatically,dynamically,0.7286874
automatically,easy,0.7232928
automatically,easily,0.7059977
exchange,receive,0.7431724
exchange,transaction,0.7405394
exchange,fse,0.7291827
exchange,offered,0.7203321
exchange,offering,0.7157547
exchange,transactions,0.7157073
exchange,offer,0.71296406
exchange,receives,0.7112773
exchange,dealt,0.7088784
exchange,dealing,0.703738
documentation,documented,0.84394103
documentation,docs,0.83183163
documentation,notations,0.81221265
documentation,documents,0.8054736
documentation,doc-,0.75015885
documentation,javadoc,0.7406726
documentation,instructions,0.73305386
documentation,manual,0.7303426
documentation,metadata,0.729433
documentation,annotating,0.7217379
element,elements,0.9010558
element,ele-,0.74943537
element,el,0.7461401
element,em,0.716254
element,component,0.7080781
element,matter,0.70725894
element,attribute,0.707093
element,rose,0.70550895
element,ion,0.7044388
element,el-,0.70392233
third,three,0.8638563
third,iii,0.8598961
third,second,0.79643816
third,fourth,0.793807
third,another,0.7843358
third,first,0.74652886
third,b3,0.71687996
third,secondly,0.71613824
third,twice,0.712243
third,f3,0.71130186
finally,achieved,0.73968625
finally,successfully,0.7369276
finally,realized,0.72302413
finally,resolved,0.71904755
finally,complete,0.7175931
finally,done,0.7129849
finally,decided,0.71075606
finally,released,0.7103625
finally,successful,0.7048086
finally,success,0.70043236
histories,historical,0.77006227
histories,history,0.7443005
histories,past,0.7291233
histories,genealogies,0.72785896
histories,history-based,0.724996
histories,records,0.7075245
histories,experiences,0.668974
histories,genealogy,0.6673345
histories,descriptions,0.6651303
histories,subjects,0.66133016
tracking,traceable,0.8279667
tracking,tracing,0.82469773
tracking,trace,0.77979183
tracking,track,0.75635606
tracking,following,0.746076
tracking,monitoring,0.7357842
tracking,follow,0.72771984
tracking,tracks,0.7272597
tracking,locating,0.72596496
tracking,followed,0.7238259
significant,significance,0.87008137
significant,important,0.8264072
significant,importance,0.78544974
significant,significantly,0.78289443
significant,substantial,0.77488905
significant,serious,0.7552232
significant,certain,0.74981034
significant,critical,0.7475895
significant,valuable,0.74245155
significant,relevant,0.7347404
pro-,proach,0.755469
pro-,p-,0.7514241
pro-,prob-,0.73629224
pro-,positive,0.7355209
pro-,per-,0.72310805
pro-,con,0.7218245
pro-,pp,0.71967703
pro-,con-,0.710717
pro-,proc,0.7093226
pro-,per,0.70773435
libre,freely,0.81180733
libre,free,0.8070804
libre,lib,0.71033686
libre,fre-,0.7091685
libre,real,0.6974668
libre,standalone,0.6865801
libre,gnu,0.6852308
libre,regular,0.6829308
libre,full,0.6792708
libre,compilable,0.6754205
uses,usages,0.9156183
uses,use,0.9138876
uses,usage,0.90800786
uses,use-,0.8982997
uses,using,0.8595632
uses,utilizes,0.83982265
uses,utilized,0.8268827
uses,utilizing,0.8163399
uses,useful,0.8059357
uses,utilize,0.7858639
knowledge,know,0.84538627
knowledge,knowing,0.8141358
knowledge,learn,0.75988686
knowledge,learning,0.7552601
knowledge,information,0.7533578
knowledge,educational,0.74355924
knowledge,expertise,0.7402301
knowledge,known,0.7348769
knowledge,understand,0.7202512
knowledge,vocabulary,0.7144364
within,internal,0.8300992
within,throughout,0.7740481
within,within-version,0.7643956
within,itself,0.7405329
within,below,0.73516864
within,contains,0.7319086
within,containing,0.72537005
within,sub-,0.7232261
within,nested,0.7177002
within,surrounding,0.71731585
fact,facts,0.88794327
fact,truth,0.7960999
fact,true,0.7596827
fact,theorem,0.7227034
fact,know,0.71942264
fact,actual,0.7168436
fact,false,0.71528184
fact,concept,0.7145512
fact,knowledge,0.7142355
fact,proved,0.70461416
less,fewer,0.8973741
less,least,0.8278948
less,minimal,0.8234029
less,reduced,0.81842846
less,smaller,0.802175
less,min-,0.80194366
less,minimum,0.7946834
less,min,0.77741313
less,decreased,0.7769462
less,few,0.7769194
page,site,0.7821172
page,pages,0.76539075
page,main-,0.7210311
page,main,0.6971678
page,show-,0.6914692
page,browse,0.69123375
page,webpage,0.68219185
page,view,0.6697416
page,tech-,0.66352093
page,links,0.66119945
otherwise,thus,0.8066248
otherwise,however,0.79258585
otherwise,though,0.78390217
otherwise,nonetheless,0.7792561
otherwise,such,0.7772116
otherwise,instead,0.7724121
otherwise,but,0.76140606
otherwise,some-,0.75974596
otherwise,moreover,0.75746053
otherwise,hence,0.7555162
mozilla,mozilla_m18-3,0.8522465
mozilla,browser,0.78563935
mozilla,browsers,0.77000964
mozilla,chrome,0.7478587
mozilla,bugzilla,0.741417
mozilla,microsoft,0.7189889
mozilla,google,0.7085574
mozilla,kde,0.69526225
mozilla,linux,0.68220776
mozilla,web,0.6812176
view,viewing,0.79460925
view,viewed,0.75349724
view,views,0.74293154
view,see,0.71715736
view,vision,0.7099476
view,show,0.7096719
view,display,0.7072862
view,viewer,0.7064057
view,showing,0.7053186
view,show-,0.7034818
times,time,0.8038978
times,places,0.721262
times,hours,0.71793056
times,ments,0.71650004
times,tions,0.71072
times,days,0.70609885
times,entries,0.70590913
times,press,0.70357084
times,moments,0.701877
times,words,0.70124155
maximum,max-,0.86932325
maximum,max,0.8565962
maximum,maximal,0.842469
maximum,highest,0.77269524
maximum,maxd,0.7610601
maximum,optimal,0.7574071
maximum,extreme,0.74133104
maximum,super,0.7304555
maximum,limits,0.7243682
maximum,total,0.7168099
get,gets,0.8744122
get,getting,0.8725056
get,obtain,0.83124727
get,want,0.82145596
get,receive,0.8190404
get,take,0.80558926
get,retrieve,0.8005978
get,obtaining,0.79450214
get,gether,0.78605026
get,ask,0.7776181
error,errors,0.87250745
error,invalid,0.76887727
error,problem,0.76775026
error,exception,0.7537822
error,fail,0.75224185
error,failed,0.74775624
error,bug,0.74763066
error,failure,0.74572736
error,problems,0.7338085
error,error-prone,0.7334196
famix,ast2famix,0.7272661
famix,family,0.72449106
famix,families,0.700978
famix,geneal-,0.6757065
famix,famoos,0.66962343
famix,parent,0.6641185
famix,fi,0.6636245
famix,ff,0.6571053
famix,cf,0.6450473
famix,rx,0.63894945
address,addresses,0.90529394
address,addressing,0.84068245
address,addressed,0.7760503
address,located,0.76613367
address,directions,0.76253504
address,locations,0.7427591
address,locating,0.7359637
address,locate,0.73561174
address,location,0.72263974
address,map,0.71811354
syntax,syntactic,0.8703893
syntax,syntactically,0.80973214
syntax,predicates,0.73940694
syntax,parsing,0.7390127
syntax,lisp,0.73490596
syntax,conjunction,0.73070365
syntax,notations,0.72399163
syntax,semantics,0.720379
syntax,tex-,0.72005486
syntax,language,0.7197644
fixes,fix,0.88499314
fixes,fixing,0.8417967
fixes,fixed,0.8229132
fixes,fix-on-fix,0.8047942
fixes,fix-in-,0.804414
fixes,bug-fix,0.7864456
fixes,improvements,0.78087807
fixes,fixed-by,0.7761228
fixes,problems,0.7733433
fixes,edits,0.77128625
usually,typically,0.93544024
usually,often,0.850053
usually,commonly,0.8486072
usually,generally,0.84378886
usually,sometimes,0.8145092
usually,routinely,0.79560626
usually,occasionally,0.7846066
usually,frequently,0.7790999
usually,typical,0.77689016
usually,mostly,0.7688569
extraction,extract,0.9054523
extraction,extracting,0.90420115
extraction,extracted,0.88175434
extraction,extractor,0.8425817
extraction,extracts,0.83561754
extraction,extractable,0.8247483
extraction,extractors,0.81950855
extraction,machine-extracted,0.7880363
extraction,processing,0.7580323
extraction,obtaining,0.75740606
change-sets,change-set,0.96721077
change-sets,changes,0.7885561
change-sets,change,0.77913195
change-sets,changing,0.7713778
change-sets,software-change,0.7683194
change-sets,sets,0.7645144
change-sets,co-changes,0.75232667
change-sets,set,0.73919755
change-sets,change-proneness,0.73870313
change-sets,changed,0.7273291
personal,individual,0.7922738
personal,individuals,0.77734977
personal,private,0.7529444
personal,self,0.74192256
personal,person,0.73735225
personal,own,0.7246276
personal,my,0.7198662
personal,me,0.71464884
personal,human,0.71418285
personal,persons,0.70303524
further,furthermore,0.81882
further,beyond,0.81545264
further,more,0.80165166
further,subsequent,0.7963458
further,additionally,0.7824773
further,next,0.77626973
further,additional,0.7735874
further,moreover,0.76864403
further,another,0.7583374
further,also,0.7522987
being,existing,0.80490553
being,having,0.78137654
being,be,0.7628077
being,consisting,0.7623826
being,knowing,0.7622665
being,creating,0.7562563
being,doing,0.75555193
being,existence,0.7532893
being,are,0.74886733
being,is,0.7474931
commercial,business,0.7445958
commercial,industrial,0.7336155
commercial,industry,0.7280448
commercial,industrial-sized,0.7193409
commercial,client,0.69837755
commercial,work,0.68580157
commercial,service,0.68290204
commercial,building,0.6789211
commercial,construction,0.67668843
commercial,working,0.6762331
society,social,0.7844462
society,e-society,0.7644659
society,law,0.7164858
society,culture,0.7053921
society,community,0.7020328
society,gender,0.6994749
society,human,0.6968942
society,people,0.69640195
society,life,0.6942538
society,service,0.69238317
blocks,block,0.908113
blocks,pieces,0.7409407
blocks,sets,0.72533846
blocks,bits,0.7078026
blocks,objects,0.7067533
blocks,lattice,0.7058969
blocks,squares,0.6974469
blocks,boxes,0.6900119
blocks,bases,0.6898938
blocks,structures,0.68921673
whose,whom,0.8890286
whose,who,0.83173275
whose,their,0.7853457
whose,which,0.7746606
whose,his,0.7663046
whose,themselves,0.7573284
whose,his-,0.75161594
whose,somebody,0.74222994
whose,own,0.7400567
whose,have,0.7346318
gives,give,0.92415965
gives,donated,0.83831716
gives,donation,0.82488847
gives,donating,0.8132381
gives,grant,0.7819943
gives,given,0.781476
gives,provides,0.78074247
gives,helping,0.7678769
gives,contributions,0.7677579
gives,providing,0.76061755
performance,performing,0.8640652
performance,performs,0.84454346
performance,perform,0.7984469
performance,performed,0.78135264
performance,benchmarks,0.7514993
performance,benchmark,0.7491726
performance,benchmarking,0.73598146
performance,scores,0.722756
performance,score,0.72223085
performance,none,0.72033453
procedure,procedures,0.9214296
procedure,operation,0.7998159
procedure,process,0.787765
procedure,method-,0.7637372
procedure,insertion,0.7620965
procedure,method,0.76193196
procedure,methodology,0.74337476
procedure,processing,0.7344138
procedure,processes,0.7272781
procedure,methods,0.72598124
subtree,subtrees,0.9649824
subtree,tree-based,0.790892
subtree,tree,0.76146543
subtree,subgraph,0.75672394
subtree,subsection,0.73169225
subtree,sub-,0.72294873
subtree,subdirectories,0.7043537
subtree,subclass,0.7023669
subtree,subclasses,0.70212543
subtree,subcomponents,0.69438356
cpp,fp,0.72123986
cpp,cs,0.67426157
cpp,c1,0.6642367
cpp,ck,0.6592281
cpp,pp,0.65778935
cpp,ci,0.65618205
cpp,cm,0.6537784
cpp,program,0.6499625
cpp,c2,0.64967
cpp,ch,0.6494298
etc,et,0.7743951
etc,em,0.75706977
etc,ements,0.74764234
etc,ext,0.7426359
etc,em-,0.7277951
etc,es,0.7275533
etc,ment,0.7230348
